,words,cluster_value,closeness_score,sentiment_coeff,sentiment
2897,enforce,-1,22.0726266316137,-22.0726266316137,negative
2898,de_nazify,-1,21.403860007878272,-21.403860007878272,negative
2899,book_airbnb,-1,24.0990627037435,-24.0990627037435,negative
2900,missile_strike,-1,20.494170500388652,-20.494170500388652,negative
2901,stag,-1,18.324894104671333,-18.324894104671333,negative
2902,hope_true,0,15.027850489115586,0.0,neutral
2903,driver,-1,26.03457238125724,-26.03457238125724,negative
2904,sense_humor,0,23.34212525888933,0.0,neutral
2905,optimistic,-1,24.45342592470109,-24.45342592470109,negative
2906,ou,1,25.665627524779048,25.665627524779048,positive
2907,banrussianoil,-1,21.853375201885505,-21.853375201885505,negative
2908,route,0,16.79557827270837,0.0,neutral
2909,russianwarcrimes_target,-1,24.44030432633812,-24.44030432633812,negative
2910,heartbreaking_watch,-1,26.70927641003655,-26.70927641003655,negative
2911,emb_ireland,0,5.206847600282811,0.0,neutral
2912,little_bite,-1,21.809053021589,-21.809053021589,negative
2913,see_kind,-1,14.880036598059306,-14.880036598059306,negative
2914,explanation,0,10.077176827237787,0.0,neutral
2915,since_start,1,15.80632293870288,15.80632293870288,positive
2916,lmaooooooooo,-1,15.764285187285264,-15.764285187285264,negative
2917,dirty,-1,27.432722251531445,-27.432722251531445,negative
2918,rn,-1,25.82542887210248,-25.82542887210248,negative
2919,democracy_freedom,-1,20.20853867117854,-20.20853867117854,negative
2920,ticket,1,19.19243573662269,19.19243573662269,positive
2921,air_defense,-1,26.83311177744144,-26.83311177744144,negative
2922,pound,1,25.55379469081975,25.55379469081975,positive
2923,freedom_speech,1,21.53576200131629,21.53576200131629,positive
2924,ipc,1,11.542271503556488,11.542271503556488,positive
2925,amp_conservativefriendsofrussia,1,15.27216611546574,15.27216611546574,positive
2926,ration,-1,10.784072792049674,-10.784072792049674,negative
2927,insanity,-1,17.815659702656735,-17.815659702656735,negative
2928,stewart,0,9.486070275171754,0.0,neutral
2929,motherfucker,0,25.271163553296805,0.0,neutral
2930,poor_guy,-1,25.077268284945266,-25.077268284945266,negative
2931,standwithukraine_ukrainianheroes,0,6.114376071192661,0.0,neutral
2932,condition,1,26.517236339467587,26.517236339467587,positive
2933,abou,-1,21.35364962055728,-21.35364962055728,negative
2934,sanction_belarus,0,10.253227549854268,0.0,neutral
2935,valiant,-1,17.30257720055641,-17.30257720055641,negative
2936,aga,1,23.45119835721096,23.45119835721096,positive
2937,territorial_defense,-1,9.435846046558034,-9.435846046558034,negative
2938,kosovoinnato,-1,27.848395678337408,-27.848395678337408,negative
2939,approve,1,25.4113075710516,25.4113075710516,positive
2940,effective,0,9.401118589099598,0.0,neutral
2941,vancouver_art,1,7.281033396617031,7.281033396617031,positive
2942,toronto,-1,18.88480537444233,-18.88480537444233,negative
2943,bravery_courage,-1,14.06188520997048,-14.06188520997048,negative
2944,olympics,1,26.24823392410489,26.24823392410489,positive
2945,sunday_morning,-1,20.03795538181774,-20.03795538181774,negative
2946,romanian,-1,16.24274737952939,-16.24274737952939,negative
2947,brussels,-1,9.664103573840778,-9.664103573840778,negative
2948,google_map,1,16.62397891588164,16.62397891588164,positive
2949,firm,-1,17.13528167710423,-17.13528167710423,negative
2950,much_possible,-1,11.999487751765328,-11.999487751765328,negative
2951,convoy_head,-1,9.840386881833489,-9.840386881833489,negative
2952,see_picture,-1,26.842032192369818,-26.842032192369818,negative
2953,mankind,-1,26.250786594493327,-26.250786594493327,negative
2954,go_bed,1,25.69917344650101,25.69917344650101,positive
2955,generate_graffiti,1,4.2891487545945886,4.2891487545945886,positive
2956,midnight,1,23.792060466161168,23.792060466161168,positive
2957,expect_u,1,26.135299399236192,26.135299399236192,positive
2958,fckptn_fckputin,-1,24.70892970115821,-24.70892970115821,negative
2959,colour_ukrainian,-1,21.48094236229486,-21.48094236229486,negative
2960,facility,1,19.970807068907213,19.970807068907213,positive
2961,comic,1,22.02668193280336,22.02668193280336,positive
2962,war_relief,1,12.500332031808064,12.500332031808064,positive
2963,nft_artwork,1,2.64024425470114,2.64024425470114,positive
2964,child_woman,-1,27.06747860022028,-27.06747860022028,negative
2965,desert,-1,11.528478459958071,-11.528478459958071,negative
2966,yup,1,26.298449787362653,26.298449787362653,positive
2967,anastasiia,0,13.209376402542668,0.0,neutral
2968,reuters,1,24.861002476685837,24.861002476685837,positive
