,words,cluster_value,closeness_score,sentiment_coeff,sentiment
0,russia,1,18.91905469684313,18.91905469684313,positive
1,ukraine,1,17.526397534759628,17.526397534759628,positive
2,war,1,16.369316458866084,16.369316458866084,positive
3,"""",1,16.73748982577814,16.73748982577814,positive
4,putin,1,19.686624589959877,19.686624589959877,positive
5,u,1,18.23632708393421,18.23632708393421,positive
6,russian,1,22.382302185305075,22.382302185305075,positive
7,say,1,23.974660365883267,23.974660365883267,positive
8,amp,1,21.772272813339917,21.772272813339917,positive
9,country,1,21.212536274579733,21.212536274579733,positive
10,china,1,23.236819849325205,23.236819849325205,positive
11,nato,1,19.832701741334795,19.832701741334795,positive
12,go,1,21.07568437430677,21.07568437430677,positive
13,would,1,17.47543205728802,17.47543205728802,positive
14,get,1,19.891103257453963,19.891103257453963,positive
15,think,1,19.3670315857301,19.3670315857301,positive
16,like,1,23.858387074365535,23.858387074365535,positive
17,people,1,23.103232442486195,23.103232442486195,positive
18,want,1,20.937265764864865,20.937265764864865,positive
19,world,1,25.27693906177882,25.27693906177882,positive
20,one,1,16.849041365604435,16.849041365604435,positive
21,know,1,23.896893200646392,23.896893200646392,positive
22,make,1,27.04889850569116,27.04889850569116,positive
23,take,1,24.365483572447776,24.365483572447776,positive
24,ukrainian,1,18.36129490499296,18.36129490499296,positive
25,need,1,20.113781891889865,20.113781891889865,positive
26,see,1,23.56718944157464,23.56718944157464,positive
27,support,1,22.588570041336453,22.588570041336453,positive
28,time,1,26.41866685684219,26.41866685684219,positive
29,invasion,1,24.82802259085272,24.82802259085272,positive
30,stop,1,20.84240468647915,20.84240468647915,positive
31,de,-1,7.181149242067524,-7.181149242067524,negative
32,india,1,21.785807353384783,21.785807353384783,positive
33,also,1,26.2457125384864,26.2457125384864,positive
34,give,0,19.70455774771515,0.0,neutral
35,fight,1,19.346572332172165,19.346572332172165,positive
36,invade,1,21.40146331173437,21.40146331173437,positive
37,use,1,26.8790324916098,26.8790324916098,positive
38,usa,1,25.772395649315506,25.772395649315506,positive
39,via,1,19.982480876373568,19.982480876373568,positive
40,even,1,20.88912501359868,20.88912501359868,positive
41,news,1,22.7235450020555,22.7235450020555,positive
42,germany,1,19.65200197167321,19.65200197167321,positive
43,attack,1,20.05046606670922,20.05046606670922,positive
44,west,1,24.242803088640184,24.242803088640184,positive
45,right,0,21.923432942573918,0.0,neutral
46,sanction,1,18.62099141859716,18.62099141859716,positive
47,come,1,24.476350763130363,24.476350763130363,positive
48,help,1,16.80184709544719,16.80184709544719,positive
49,eu,1,26.09307548963081,26.09307548963081,positive
50,weapon,1,26.023507269989107,26.023507269989107,positive
51,start,1,19.88317798445164,19.88317798445164,positive
52,military,1,25.66030677783623,25.66030677783623,positive
53,could,1,18.91043308705812,18.91043308705812,positive
54,nazi,1,22.09281394720462,22.09281394720462,positive
55,back,1,26.65228612959446,26.65228612959446,positive
56,still,1,25.922553046193958,25.922553046193958,positive
57,europe,1,22.988977454887618,22.988977454887618,positive
58,lose,1,17.790502876016447,17.790502876016447,positive
59,good,1,21.27326638972577,21.27326638972577,positive
60,try,1,21.720872636853905,21.720872636853905,positive
61,well,1,24.970514079616173,24.970514079616173,positive
62,way,1,18.499020179293957,18.499020179293957,positive
63,day,1,24.091555383491635,24.091555383491635,positive
64,biden,1,24.434367764857534,24.434367764857534,positive
65,end,1,22.167465944897423,22.167465944897423,positive
66,look,1,20.91566780927184,20.91566780927184,positive
67,many,1,22.321021832229984,22.321021832229984,positive
68,call,1,25.84420402927971,25.84420402927971,positive
69,live,1,19.778507342523383,19.778507342523383,positive
70,tell,1,24.33196775384323,24.33196775384323,positive
71,year,1,25.967422703494304,25.967422703494304,positive
72,state,1,17.463240053288956,17.463240053288956,positive
73,thing,1,16.022198568804363,16.022198568804363,positive
74,must,1,21.19695454571907,21.19695454571907,positive
75,mariupol,1,25.5160062172561,25.5160062172561,positive
76,que,-1,8.565559509102052,-8.565559509102052,negative
77,talk,1,26.588142984769945,26.588142984769945,positive
78,never,1,19.3148082441758,19.3148082441758,positive
79,let,1,26.594370544539448,26.594370544539448,positive
80,force,1,18.95069309859151,18.95069309859151,positive
81,kill,1,22.33169969474567,22.33169969474567,positive
82,trump,1,17.23652094521545,17.23652094521545,positive
83,zelensky,1,23.202793637937884,23.202793637937884,positive
84,moldova,1,23.740777558287245,23.740777558287245,positive
85,much,1,27.56243193430437,27.56243193430437,positive
86,send,1,22.834960082670925,22.834960082670925,positive
87,destroy,1,24.702055821159423,24.702055821159423,positive
88,american,1,23.358700242629983,23.358700242629983,positive
89,part,1,21.8279541791045,21.8279541791045,positive
90,government,1,17.55255735552859,17.55255735552859,positive
91,leave,1,19.43867692715444,19.43867692715444,positive
92,america,1,18.99016485181301,18.99016485181301,positive
93,work,1,27.04306178383829,27.04306178383829,positive
94,happen,1,22.69200157851201,22.69200157851201,positive
95,keep,1,24.53175372518599,24.53175372518599,positive
96,nation,1,25.5083344381266,25.5083344381266,positive
97,win,1,24.18411420593461,24.18411420593461,positive
98,plan,1,22.373010601046623,22.373010601046623,positive
99,show,1,24.44599534292092,24.44599534292092,positive
100,mean,1,26.473533127897976,26.473533127897976,positive
101,already,1,15.511528619486668,15.511528619486668,positive
102,new,1,16.69241318633581,16.69241318633581,positive
103,un,1,19.09224932718501,19.09224932718501,positive
104,point,1,24.74284062749083,24.74284062749083,positive
105,since,1,19.41827584348293,19.41827584348293,positive
106,com,-1,15.245362342403606,-15.245362342403606,negative
107,lie,1,23.67416641458523,23.67416641458523,positive
108,president,1,27.927759436122276,27.927759436122276,positive
109,really,1,19.79751878741774,19.79751878741774,positive
110,la,-1,10.80871105358264,-10.80871105358264,negative
111,yes,1,16.701610634951265,16.701610634951265,positive
112,move,1,16.577364567785747,16.577364567785747,positive
113,arm,1,22.056526471253477,22.056526471253477,positive
114,better,1,22.844443852380483,22.844443852380483,positive
115,reason,1,20.546546267443382,20.546546267443382,positive
116,believe,1,27.155546590560327,27.155546590560327,positive
117,ask,1,19.230337048661617,19.230337048661617,positive
118,may,1,23.823537659179305,23.823537659179305,positive
119,nothing,1,27.85068257150458,27.85068257150458,positive
120,ssia,-1,11.004488229144224,-11.004488229144224,negative
121,lot,1,15.667715502676437,15.667715502676437,positive
122,become,1,27.54181258893495,27.54181258893495,positive
123,understand,1,24.736875435070797,24.736875435070797,positive
124,peace,1,19.35152919266556,19.35152919266556,positive
125,da,-1,10.928326211059824,-10.928326211059824,negative
126,western,1,22.79258672543954,22.79258672543954,positive
127,first,1,24.57529470972543,24.57529470972543,positive
128,conflict,1,24.241505139835777,24.241505139835777,positive
129,medium,1,25.815929492400365,25.815929492400365,positive
130,power,1,25.92494130367567,25.92494130367567,positive
131,today,1,22.22136729008942,22.22136729008942,positive
132,stand,0,15.438048345798585,0.0,neutral
133,propaganda,1,25.581489969766967,25.581489969766967,positive
134,without,1,19.64417073182445,19.64417073182445,positive
135,donbas,1,24.486319168638545,24.486319168638545,positive
136,continue,1,23.042499614950287,23.042499614950287,positive
137,control,1,23.32440116527992,23.32440116527992,positive
138,love,1,27.80411878926495,27.80411878926495,positive
139,claim,1,26.482004891053105,26.482004891053105,positive
140,army,1,23.273924533177706,23.273924533177706,positive
141,se,-1,12.867976041130598,-12.867976041130598,negative
142,border,1,16.746738620251893,16.746738620251893,positive
143,japan,1,24.25678505488365,24.25678505488365,positive
144,sure,1,27.694175390764805,27.694175390764805,positive
145,fact,0,15.71410130832125,0.0,neutral
146,money,1,20.19172930489027,20.19172930489027,positive
147,seem,1,21.008254683562857,21.008254683562857,positive
148,allow,1,24.431006275842535,24.431006275842535,positive
149,anything,1,19.629480920772888,19.629480920772888,positive
150,genocide,1,24.504765274573465,24.504765274573465,positive
151,maybe,1,29.572305215120974,29.572305215120974,positive
152,another,1,23.82586110478753,23.82586110478753,positive
153,agree,1,24.615667339126347,24.615667339126347,positive
154,moscow,1,15.208587245921809,15.208587245921809,positive
155,bad,0,23.7106861689017,0.0,neutral
156,life,1,24.80317250166053,24.80317250166053,positive
157,read,1,16.250921842178347,16.250921842178347,positive
158,actually,1,18.758383213997856,18.758383213997856,positive
159,hope,1,29.16573102294505,29.16573102294505,positive
160,gas,1,22.85180618051765,22.85180618051765,positive
161,face,1,12.847676664263464,12.847676664263464,positive
162,put,1,24.011015476423943,24.011015476423943,positive
163,begin,1,27.880095430409423,27.880095430409423,positive
164,do,1,23.48098666275274,23.48098666275274,positive
165,report,1,26.936566985668065,26.936566985668065,positive
166,blame,1,19.390151898029966,19.390151898029966,positive
167,problem,1,21.45544712209087,21.45544712209087,positive
168,always,1,23.36853006616914,23.36853006616914,positive
169,oil,1,25.71608838395016,25.71608838395016,positive
170,pay,1,17.993522034378564,17.993522034378564,positive
171,ban,1,26.43819539285716,26.43819539285716,positive
172,war_crime,1,19.13742040623764,19.13742040623764,positive
173,fuck,1,28.25798680405353,28.25798680405353,positive
174,defeat,1,21.840883671327727,21.840883671327727,positive
175,run,1,27.63206297627045,27.63206297627045,positive
176,long,1,28.645005010140505,28.645005010140505,positive
177,interest,1,26.40138113401344,26.40138113401344,positive
178,threat,1,24.808424065799212,24.808424065799212,positive
179,na,-1,14.810874379127307,-14.810874379127307,negative
180,friend,1,19.56537515514172,19.56537515514172,positive
