,username,hashtags,clean_tweet,day,month,sentiment_val,sentiment
55,maggicarter,,"russia brutal try take world actually u "" west "" israel coattail wherever oil mineral location exploit war oil go together long people charge",23,4,1,positive
56,jsd808,putin    russia,putin russia,23,4,1,positive
57,canadafreedom5,ukraineonfire,ukraineonfire must watch anyone begin form opinion ukraine russia conflict history rhyme,23,4,1,positive
58,bobruth12,,much go behind scene biden style also necessary deal disparate nato ally well telegraph info russia,23,4,1,positive
59,freeyomomma,,peace china help russia,23,4,1,positive
60,russialies,,lmao say ugly indian scammer russia take kyiv russia lose flag ship moskva yes russia force change plan plan work yes russia still lose even though goal become way smaller yes,23,4,1,positive
61,bobsparky70,,really guy try stop russia rap murder civilian find mass graf russian dig ukrainian liberate city putin destroy nation,23,4,1,positive
62,ottawacitizen,,canada say international collaboration russia impossible right,23,4,1,positive
63,logicalzephyr,,alimov well russia far biggest human right violator trust clean act also else would looter tie,23,4,1,positive
64,indianexpress,ieworld    zelenskyy    russiaukrainewar,ieworld ukrainian president volodymyr zelenskyy warn russia invasion country begin moscow design capture country read russiaukrainewar,23,4,1,positive
65,msrandomfinn,,pavla yet twitter full claim russia never bully aggressor,23,4,1,positive
66,jerryclaypool1,,russia quando acqua tocca il culo tutti imparano nuotare,23,4,-1,negative
67,nestorjguerrero,,podr conducir un coche desde rusia hasta ee uu si se hubiera materializado este loco proyecto russia beyond e,23,4,0,neutral
68,billy787485161,,fuck switzerland tell russia fuck switzerland,23,4,1,positive
69,marthafusca,,perhaps perhaps vast majority stand strongly ukrainian see evil russia criminal regime desperately wish victory justice ukraine know nothing ever make crime pain suffer ukrainian,23,4,1,positive
70,nflx1,dragrace    smackdown    aewrampage    ukraine,fm sitharaman meet world bank president discus covid russia ukraine conflict union finance minister nirmala sitharaman meet world bank president david malpass washington trend dragrace smackdown aewrampage ukraine,23,4,1,positive
71,reuters,,japan russia sign fish deal despite ukraine tension,23,4,1,positive
72,yriygorskiy,,russia refuse pay gas israel transfer save yuan saudi arabia transfer part oil trade yuan india russia switch trade national currency flip side,23,4,1,positive
73,sas43222590,,russia lo vedo bene un campo di margherite guardarne le radici,23,4,1,positive
74,alexgoalbert,,zelenskiy warn russia eye country ukraine,23,4,1,positive
75,garry37675,,truly hope india answer send someone russia say thing reply,23,4,1,positive
76,jeaniedaffern,,williams oh god since lazy homework go tube search obamas speech european leader russia democrat obama supporter smart enough research bullshit even proclaim mind,23,4,1,positive
77,jimmyhat__,,russia start largest war europe since ww order hide hunter biden,23,4,1,positive
78,einpresswirega,,russia ukraine war moldova foreign ministry express deep concern invasion plan,23,4,1,positive
79,hassanifaycal1,putin    russiaukraineconflict    anonymous    secrets    hackers,putin humiliate hacker expose russia secret service leak email putin russiaukraineconflict anonymous secret hacker,23,4,1,positive
80,bgbadboy,russia    russianukrainianwar    russiannatowar    warinukraine    ukraine    ukrainerussianwar    natorussianwar    nato    usa    bulgaria,russia russianukrainianwar russiannatowar warinukraine ukraine ukrainerussianwar natorussianwar nato usa bulgaria,23,4,1,positive
81,ukrainianwar24,ukraine    russia,ukrainian prime minister russia cannot win war defend land last man ukraine russia,23,4,1,positive
82,eintravelnews,,un chief travel ukraine russia next week live update,23,4,1,positive
83,isaacorsmokiie,,need russia v ukrain,23,4,1,positive
84,charkihome,,russia motivation trust medium news easily,23,4,1,positive
85,ertimsjwaffle,,scholz dream think security russia end twenty year war one end brandons recipe thats ww,23,4,1,positive
86,clayranck,,trade jimmy russia hockey player something,23,4,1,positive
87,bitteryang31,,stupidity idea reflection russia nation hardcore people loyal putin,23,4,1,positive
88,historycath,,hear complicate govt release certain infor war ukraine bc cud advantage russia release infor tender bc competitive advantage act emergency amp potentially involve ppl amp fund cdn interest,23,4,1,positive
89,xoxofarm,egorkreed    annaplentnyova,official music theme song fifa world cup russia egor kreed youtube egorkreed annaplentnyova,23,4,1,positive
90,guy_rguy,,photojournalist describe russia leave behind bucha apocalyptic,23,4,1,positive
91,dbornspectator,,"wow one hell revelation u le russia china country "" bad "" image front world wear cloak good nice",23,4,1,positive
92,kimmytoronto,,interest amsterdam trade bank part russia alfa bank declare bankrupt,23,4,1,positive
93,kaleemsohla,asadmajeed    donaldlu    imrankhan    russia    shirinmazari,asadmajeed confirm donaldlu express displeasure imrankhan visit russia imran khan military leadership joint decision donald low contradictory information shirinmazari,23,4,1,positive
94,celticum,,russia seize ukraine largest arsenal weapon ammunition hand donetsk luhansk arm force,23,4,1,positive
95,eli68770066,putin    putin,good morning hope global citizen start send message putin ask stop aggressive war every ukrainian attrocity certainty russia longer nation state terrorist state state terrorism putin primeval pariah,23,4,1,positive
96,adavidthomas,,type propaganda probably work inside russian world rest world free press mean free report see know nazi claim ukraine propaganda create russia internal consumption,23,4,1,positive
97,einhumanrights,,russia say seek full control southern ukraine access moldova trans dniester region happen,23,4,1,positive
98,grandanna19,russia,russia burn,23,4,0,neutral
99,ngruen1,,keynes say vengeance dare predict shall limp dh lawrence already notice early something similar russia let plunge depression generation vengeance limp,23,4,1,positive
100,avanaurho,,poland baltic state finland far higher risk suffer retaliatory action russia help ukraine much germany land border russia risk ever attack keep fund genocide,23,4,1,positive
101,antivataukrop,moscow    ukraine    war    russia    russianarmy,suspiciously frequent fire russia get closer moscow city korolov km away moscow seem kremlin may ukraine war russia russianarmy,23,4,1,positive
102,cadelinhajyp,,sonhei que algu influente se suicidava que isso desencadeada fim da guerra entre ssia ucr nia,23,4,-1,negative
103,sabasir,,someone make big money war ukraine russia weapon come free,23,4,1,positive
104,paulharris1957,,look like friend russia ashamed golden boy strange man integrity,23,4,1,positive
105,idenijamn,russia    russiaukrainewar    russiancruisermoskva    ukraine,one soldier dead miss russian cruiser moskva sink russia russiaukrainewar russiancruisermoskva ukraine,23,4,1,positive
106,charkihome,,worst russia motivation trust medium news easily,23,4,1,positive
107,jamesfirecat,,think russia invasion doom start use soft power coup resolve issue open warfare wrong morally idiotic invade,23,4,1,positive
108,russiaonlineru,news    russia,news russia,23,4,1,positive
109,redpill79710803,,corruption problem largely clean year follow russia lot corruption fund modernize russian military siphon putin oligarch corrupt people meanwhile many russian struggle poverty quite obscene,23,4,1,positive
110,genfoundation11,,russia,23,4,1,positive
111,foxmental_x,ukraine    freedom    keepkyivfree    zelenskyy    fuckputin,russia make state own telecom provider part national security apparatus ukraine freedom keepkyivfree zelenskyy fuckputin,23,4,1,positive
112,ecojag,,home grow terrorist escape amp depart various area liberate russia life quickly return better form everyday freedom seem mirror syrian experience u nato eu support terrorist versus russian intervention towards return,23,4,1,positive
113,ashfaqkhan003,,authority u impose sanction venezuela iran russia country constitution nothing u executive legislative separation,23,4,1,positive
114,matthew96096985,,russia crush someone without immense ego putin take charge,23,4,1,positive
115,harlock2199,,well good thing russia history shoot commercial jet right right mean use jdf jet clear clearly shoot jdf flight clear mark imagine would choose commercial instead,23,4,1,positive
116,roberta05205990,,"marine le pen durante il dibattito presidenziale di ieri serum sull embargo su petrolio gas russi "" non il metodo giusto "" "" non possiamo commettere hara kiri suicidio con la speranza di danneggiare finanziariamente la russia "" impara draghi impara da questa donna",23,4,0,neutral
117,farmerjustice97,,country mean world think opposition russia france current election name two something hear regularly news organization report foreign election never hear success say boycott,23,4,1,positive
118,piscean58,,boris buffoon resign yet good luck russia,23,4,1,positive
119,philewar,bufferapp,soldier spy strelkov snipe sideline russia setback ukraine bufferapp,23,4,1,positive
120,wedibereka,,russia un forumafrica repeat donald trump say shity little country call israel little country size population quality know ukraine hate african prove u african saw innocent african ukraine,23,4,1,positive
121,etaewb,,gross russia stop like pour tax dollar drain,23,4,1,positive
122,kezya_95,,putin concedeu perd judicial para um deputado ze bostinha na ssia onde esse pa vai parar,23,4,-1,negative
123,bigcartommy,,go live russia hear bitchen,23,4,1,positive
124,news_by_gatfil,russia    ukraine    stuff    live    siolnet    johnny    man    parents    covid    newsbygatfil,ultime news parole chiave russia russia ukraine ukraine stuff stuff live live siolnet siolnet johnny johnny man man parent parent covid covid newsbygatfil,23,4,1,positive
125,jacobsonlawpa,,russia defy dire economic forecast despite loom recession,23,4,1,positive
126,crweworld,,ukraine war russia aim full control south commander say,23,4,1,positive
127,reddevilanuj,,send ukraine russia matter,23,4,1,positive
128,thv11,,many private company announce suspend end operation russia country invasion ukraine,23,4,1,positive
129,scrapironliver,,patri war russia peep cover chicago almost good chicago,23,4,1,positive
130,jaiprakash01985,,need man best negotiation make peace need ukraine russia president table,23,4,1,positive
131,dmac6njdan,,jack really think putin become liar week ago putin murder liar past year zelenski fool believe murder tyrant russia troop west exactly people flee poland,23,4,1,positive
132,magapacorg,,pentagon respond russia satan missile test,23,4,1,positive
133,coniinthegarden,,owe russia withdraw initially present voluntary gesture good promote peace talk two day break tell russian force push victorious ukrainian force discover war crime,23,4,1,positive
134,trickamsterdam,,"typical fascist end day always go "" might make right "" principle real belief almost anything call america first literally cheer china russia taliban v u",23,4,1,positive
135,dlmtd2,,russia,23,4,1,positive
136,blakelygmail,,play history guide russia ukraine mp,23,4,1,positive
137,gbafreview,,scholz say top priority avoid nato confrontation russia,23,4,1,positive
138,melholbrook7,,democrat position ukraine rest america attempt wipe u face earth like russia try ukrainian unlike ukraine nobody go step help u go,23,4,1,positive
139,unbnewsroom,ukraine    russia    war,ukraine russian shift elite unit new battleground ukraine russia war,23,4,1,positive
140,mmjhealthcare,cannabiscommunity    cannabisculture    cannabiscures,ukraine say russia offensive donbas begin know cannabiscommunity cannabisculture cannabiscures,23,4,1,positive
141,healthylivin_00,,un useless kick russia point tweet,23,4,1,positive
142,dennycr44723055,,meyers different republican russian paycheque way fund russian way marine le pen opposition presidential french candidate expose fund frm russia already news,23,4,1,positive
143,cyberprefixer,,russia ukraine cyberwar know cyberday cyberinvasion,23,4,1,positive
144,wstbots,wstbot    stonks,stock market scream last death rattle russia replace ukrainian medium wstbot stonks,23,4,1,positive
145,ifastigm,,late food price rise dramatically fertiliser major reason russia ukraine war destabilise effect agricultural necessity give russia major producer fertiliser read,23,4,1,positive
146,alisakittystar,ethereum    gold    ethereum    russia,bitcoin transaction stay low despite price rally data ethereum gold ethereum russia,23,4,1,positive
147,chathamhouse,,russia attempt portray reliable ally fight jihadist insurgent western attention turn elsewhere write,23,4,1,positive
148,theinsiderpaper,,new putin meet un chief guterres russia next week,23,4,1,positive
149,jagrannews,vladimirputin    russia    russiaukraine    russiaukrainewar,vladimirputin russia russiaukraine russiaukrainewar,23,4,0,neutral
150,langdonclemens,,neighbor ukraine responsibility abandon self government self determination self defense really unique view exactly ukraine provoke russia way justify invasion conquest annexation doooo tell,23,4,1,positive
151,yenisafaken,,france macron say russia want escalation ukraine war,23,4,1,positive
152,portalr7,,onu escolher substituto da ssia conselho de direitos humanos segundo na e unidas um outro pa leste europeu deve assumir assento russo na comiss para assuntos humanit rio,23,4,-1,negative
153,telesurenglish,europe    gas    russia,""" seriously last week say russian security council deputy chairman dmitry medvedev reference europe cut gas come russia",23,4,1,positive
154,alarabiya_eng,eu    russia,eu company may able work around russia demand receive gas payment ruble without breach sanction european commission say,23,4,1,positive
155,luminaria98,,russia want part another country russia step grab part want kill loot get want un nothing,23,4,1,positive
156,huntdailynews1,,russia ukraine war live,23,4,1,positive
157,p023456,,sebenarnya russia mudah membunuh ribu tentara ukraina itu dgn menjatuhkan bom ke pabrik baja tapi rusia bukan si pembunuh massal hiroshima dan nagasaki,23,4,0,neutral
158,eposhta,,"read head "" state reprisal criticize government "" think post go putin russia",23,4,1,positive
159,haribhoomicom,russiaukrainewar    ukrainerussiawar    russianarmy,russia ukraine war russiaukrainewar ukrainerussiawar russianarmy,23,4,1,positive
160,thomasg38787090,,yes apparently shoot wife child commit suicide russia come conclusion shoot shoot wife child,23,4,1,positive
161,ryanvetter13,,moldova summon russian ambassador russia announce goal access moldovan state,23,4,1,positive
162,odyssey_crypto,,russian shill spread disinformation time russia putin honorable thing surrender ukraine prolong embarrassment destruction russian army russian economy,23,4,1,positive
163,sandyal54100096,,easy quit buy oil russia foreign country open oil gas production potus shut day presidency make u energy independent gas price everything expensive come quit spend swe,23,4,1,positive
164,diaz_1904,,pt aten se agress ocidente pode se da ssia considerada agress ter que arranjar um nome fofinho,23,4,-1,negative
165,arlencyprus,,aslund say germany guilt towards ukraine towards russia even thou german atrocity ukraine even worse selective guilt feel,23,4,1,positive
166,asymmetricalpha,russia    mali    france,russia support mali intention investigate suspect mass graf find near former french army base russian defense ministry say malian medium link body find mass graf group local shepherd whose disappearance blame france,23,4,1,positive
167,xman0o0o,,u want deploy military presence ukraine rattle russia challenge russia national security russia react ukraine scr west u uk also want stop war condemn war,23,4,1,positive
168,nuretti16905026,,russia respect recognize sovereignty ukraine bomb build destroy infrastructure kill people consequence war crime activity russia pay price brutality,23,4,1,positive
169,spade_blaze,,tiger censorship already heavy russia get worse since invasion slightly disappoint cover lot ever saw news cover protest begin war russia want,23,4,1,positive
170,dcolindres92,,russia would better west run hand china become china pawn,23,4,1,positive
171,colleenprouty1,,work government drive anywhere move back russia daddy,23,4,1,positive
172,ggfreeman,,matter biden use joes office sell influence china russia ukr libya amp karz ukr consider dangerous dictator sell influence law pickup money joe provide influence security risk u result,23,4,1,positive
173,juliadavisnews,,host evgeny popov also member russia state duma weigh macron lose election need get nato people specifically french one next two day,23,4,1,positive
174,channelnewsasia,,zelenskyy warn russia eye country ukraine,23,4,1,positive
175,worldnewsland1,,russia ukraine news,23,4,1,positive
176,rodpowers4you,,think people care people worry delivery fee uber eat happen russia ukraine war old news,23,4,1,positive
177,coldrain76,,go russia struggle make significant gain germany threaten western world order shut import think consider energy dependence russia germany native ukraine surprise,23,4,1,positive
178,drwatso40331341,,get bad bowel movement indian mp mla mlc visit north korea support russia zero bear official policy,23,4,1,positive
179,saralbharatnews,saralbharatnews    ukrainerussiawar    covid      nirmalasitharaman    worldbank    ukraine,sitharaman discus covid russia ukraine conflict world bank president saralbharatnews ukrainerussiawar covid nirmalasitharaman worldbank ukraine,23,4,1,positive
180,wstcoastech,,netflix pull russia invade ukraine,23,4,1,positive
181,ians_india,ukraine    russia    kiev    unitednations    russiaukrainewar    russiaukraineconflict    russiaukrainecrisis,million people flee ukraine since russia begin war kiev february accord latest unitednations figure russiaukrainewar russiaukraineconflict russiaukrainecrisis,23,4,1,positive
182,colmurali,,russia migrate ukraine huge difference migration invasion,23,4,1,positive
183,jestebanez,,col mbia pr xima eua bolsonaro da ssia tem acordo bolsonaro se isola cada vez mais,23,4,-1,negative
184,stefanforss46,,"stake battle donbas "" west interest ukrainian victory push russia let people decide destiny russia without ukraine much le threat nato guess finland sweden agree",23,4,1,positive
185,kamilawdias,srilanka    russia,srilanka ambassador russia professor janitha liyanage award title honorary academician international humanitarian academy europe asia well diploma ribbon rise peace gold medal,23,4,1,positive
186,thriftwallet,,russia ukraine crisis update un chief meet putin zelenskyy press peace,23,4,1,positive
187,askgps,,dear sister please think globally act locally ik compromise foreign policy visit russia refusal base usa internally give nro opposition one stand agaist pillar oust,23,4,1,positive
188,szymonkron,,adnym trzeba debilem ziemi askiej lub na pan czerwon kalink eby twierdzi spetsnaz fsb russia gumiakach po ukrainie lata via,23,4,0,neutral
189,rachel67931216,,border state allow russia access black sea amp nato ally require back attack also important biden crime family gotta funnel money somehow think really pawn tk petrol amp bidens fault,23,4,1,positive
190,andy_mays,,hold mean understand plane go ukraine amply easily supply truck via highway russia lack capacity target individual supply truck distance,23,4,1,positive
191,ezrassi_,,west push russia war ukraine invade sovereign country cannot justify west innocent war kill many affect million people even backfire felt u happen joe biden administration,23,4,1,positive
192,take_to_news,,zelensky warn russia stick ukraine,23,4,1,positive
193,bunny2be,,world ukraine arm prolong america proxy war get nothing nato never join donbas russia,23,4,1,positive
194,blm9803,,"really include bomb hospital shelter mark "" child disgust straight russian propaganda statement repeatedly disproven russia target civilian",23,4,1,positive
195,gurucowboy,,could easily trigger sanction china eu u unlike russia china need west fee citizen sure much china will risk probably shock could happen russia,23,4,1,positive
196,bannedann,,look like agree need regime change germany chancellor literally communist sympathize past need exact opposite russia imperialist ambition turkey germany amp france defend europe,23,4,1,positive
197,aleaseoxara,,way people australia come live russia,23,4,1,positive
198,muzicluva2,,evidence like russia russia russia trump nothing burger cry,23,4,1,positive
199,greenalmonds_0,,dope look gear outfit go people head condone russia bomb ukraine think sof personnel cool look gear,23,4,1,positive
200,loveatingash,,lord mile look like fps russia,23,4,1,positive
201,pandamasque,,"make theory string fire "" random suicide "" connect strategic industry russia occur effort cover large scale embezzle state fund bind come light due fiasco ukraine",23,4,1,positive
202,violetpilot1,nametheplane,international aviation space salon mak russia nametheplane,23,4,1,positive
203,wan88super,,russia take ukrainian city mariupol bbc news via,23,4,1,positive
204,sahntwrk,standwithukraine,"support rape amp murder baby long affect german economy collage write article decry "" aggressive imperialist nato "" usa sanction anyone business russia black amp white gray standwithukraine",23,4,1,positive
205,positivelindism,,kyiv accuse moscow imperialism russia flag interest south ukraine reuters,23,4,1,positive
206,bsfelder77,,russia freedom speech since,23,4,1,positive
207,max111206,,zelensky five suggestion world bank deal russia via,23,4,1,positive
208,yannt1,,leave world though read african country close agricultural need cover russia,23,4,1,positive
209,daiachautudo,rfavietnamese    ukraine    ngaxamluoc    ngaxamluocukraine    russia    russiainvadesukraine,""" trung nh ch ng ng cho ng nga ukraine "" ng th ng joe biden rfavietnamese ukraine ngaxamluoc ngaxamluocukraine russia russiainvadesukraine",23,4,0,neutral
210,roberts36274072,,trump say threaten defend nato russia washington post,23,4,1,positive
211,jorgecirillo,,ssia invadiu ucr nia destr cidades dispara queima roupa matando civis viola mulheres para alguns responsabilidade decis da paz est na dirigentes ucranianos tenham vergonha,23,4,-1,negative
212,fra22eko,,feel today incite biden hate russia stop buy food power russia stupid biden laugh,23,4,1,positive
213,uvw2020,,israeli weapon see use neo nazi ukrainian unit russia,23,4,1,positive
214,rallysim,,say thing russia hit foreign volunteer barrack western ukraine,23,4,1,positive
215,bobochesterfie1,,think might zero sum game remove part food supply stress enemy ie china russia much worse hell burn food make ethanol meat milk egg basically corn burn corn cia know plan,23,4,1,positive
216,rafafitchas,,dryzinho hulk se destacou na europa onde nunca jogou em um clube grande da europa foi esconder na ssia,23,4,-1,negative
217,markittykat,,hardly chill small penis syndrome russia extensively suffer read edgy threat actually convince nuclear weapon lmao,23,4,1,positive
218,crowdvectors,puttin    russia    ukraine    war    kyiv    mariupolattack,russia plan hold sham independence vote southern ukraine zelenskiy say see gt puttin russia ukraine war kyiv mariupolattack,23,4,1,positive
219,maryaya55361899,,agree drag nation extend proxy war gain ukraine independence russia start purpose nato certainly never address congress,23,4,1,positive
220,juan1t0_unreal,,"many statement "" russia thing",23,4,1,positive
221,kaisersose99,russia,la russia un paese democratico,23,4,1,positive
222,mtneedle,newsbreak,trump brag threaten defend nato ally russia newsbreak,23,4,1,positive
223,worldnews_guru,,ukraine war russia aim full control south commander say,23,4,1,positive
224,kathleenalice4,,let move start conservative news website washington free beacon say campaign first hire firm fusion gps later produce dossier unsubstantiated information donald trump russia tie etc,23,4,1,positive
225,quanalfredgan1,,think russia would categorize peripheral rather semi peripheral world system theory give major export raw material oil natural gas instead manufacture good,23,4,1,positive
226,hollywoodlanews,,russia russia china,23,4,1,positive
227,satyanveshan,,national interest pakistan proxy state china china align russia harm u economy logical option u align big time india neutral gender realpolitik either u omar islamist need theatrics,23,4,1,positive
228,pingupapu,,ghost exactly much people think russia survive without west throughly disproven even lead farther proof weapon manufacturer uralgavondavod producer russian armour vehicle tank shut complete,23,4,1,positive
229,chilpericfirst,,germany would never answer call help german much likely join russia partition poland germany would never go war protect slavic untermenschen deutschland ber alles never forget part anthem,23,4,1,positive
230,kennsigrid1,,jordan republican think whatever say free speech freedom end mine begin earn mine put life line country remain free want autocracy move russia resign,23,4,1,positive
231,lawforrealnow,,whatever russia gain pay forever,23,4,1,positive
232,mintchocominteu,,trilogi ini winternight trilogy nya katherine arden penulis amerika dengan latar cerita di medieval russia jarang dihype karena ga ada terjemahan bahasa indonesia nya dan gak terjangkau oleh orang yang hanya baca buku luar versi terjemahan,23,4,0,neutral
233,fonecable,,rep jim jordan react durham probe arrest clinton campaign cozying russia trump,23,4,1,positive
234,timgravett,russia    armukrainenow    slavaukra ni,russia enter risk armukrainenow slavaukra ni,23,4,1,positive
235,heimer_mason,,choose disgust repulsive option ukraine end quickly let russian endure significant casualty ukraine expense prolong without defeat russia citizen state propaganda feel defeat,23,4,1,positive
236,trstdtravlr,,think russia say ukraine helicopter strike home cross border attack,23,4,1,positive
237,zappadrone,,think maybe offer bakersfield russia,23,4,1,positive
238,madrastribune,madrastribune    news    breakingnews,putin moldova invasion plot russia lay second stage war world news madras tribune madrastribune news breakingnews,23,4,1,positive
239,faketakedump,,lemon fart flo hindu washington france russia like roll unite state unite state unite state unite state unite state unite state unite state unite state fart,23,4,1,positive
240,deanpet21549441,,reason democrat pro censorship anti free speech smart enough decide disinformation still believe russia collusion laptop impeachment etc,23,4,1,positive
